Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Getting Started as an Agile Project Manager,"Deliver projects with the highest level of performance and quality as an agile project manager. This path will help you build a solid foundation in leading and motivating agile project teams, from developing user stories and agile charts to driving productive meetings.",Learning Path,2019-05-10 10:36 UTC,N/A,false,N/A,
Jeff Dyer on Innovation,"Innovators are often creative people. But to take a clever idea and actually make it a marketable product requires a bit more than mere invention. In this course, join thought leader and innovation expert Jeff Dyer as he shares his insights on developing the key skills that lead to innovative capabilities, and explains how to apply those skills to accomplish repeated innovation. Jeff discusses behaviors and techniques that can help you generate creative ideas, as well as a method for bringing your ideas to the marketplace.",Course,2020-02-10 14:36 UTC,N/A,false,N/A,
Agentic AI: Building Data-First AI Agents,"In this course, Senior Staff Instructor Morten Rand-Hendriksen and Microsoft Director of Data & AI Strategy Viroopax Mirji analyze the data challenges enterprises face when building AI agents. The course examines data quality, privacy, integration, and bias, with real-world examples from industries like healthcare and autonomous vehicles. The conversation covers best practices for data management, governance, and transitioning to an AI-driven future, ensuring transparency and accountability in AI systems.",Course,2025-07-30 21:37 UTC,N/A,false,N/A,
Communicating with Confidence (2015),"Most people are afraid of speaking in public, but effective oral communication is a key skill in business. Jeff Ansell provides simple communication tools, strategies, and tips that are easy to use and produce immediate results. He'll help you sound more confident, use body and language to better express ideas, and overcome anxiety. In the last chapter of the course, all these concepts are brought together in two real-world coaching exercises that will help you see the techniques in action.",Course,2019-05-10 10:29 UTC,N/A,false,N/A,
Amazon Web Services: Data Services,"Why use Amazon Web Services for data storage? AWS provides big data services at a small cost, offering one of the most full-featured and scalable solution sets around. Start here to explore your storage and framework options when working with data services on the Amazon cloud. Your guide, Lynn Langit, a working big data architect, helps you navigate the options when it comes to file storage, relational and NoSQL data storage, data warehousing, graph and ledger databases, and data lakes. Plus, learn how to run open-source processing tools such as Hadoop and Spark on AWS and leverage new serverless data services, including Athena serverless queries and the auto-scaling version of the Aurora relational database service, Aurora Serverless.",Course,2020-05-18 09:57 UTC,N/A,false,N/A,
SQL Essential Training,"The ubiquity of big data means that now, more than ever, there is a burning need to warehouse, access, and understand the contents of massive databases quickly and efficiently. Attaining proficiency in SQL is essential to prepare for our data-driven present and future. It is also crucial to furthering your skills as a data analyst or application developer. In this course, Walter Shields teaches you: the basic structure of databases—what they are, how they work, and how to successfully navigate them; how to use SQL to retrieve and understand data no matter the scale of a database; and how to master the most important SQL query syntax, along with how and when to use it best.
<p>This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice alongside the course content to advance your programming skills.</p>",Course,2025-11-26 09:09 UTC,N/A,false,N/A,
Creating Maps with R,"If you need to learn more about creating maps with R, this beginner-friendly course introduces an end-to-end mapping workflow and shows you how to import your data directly from Excel to create both static and interactive maps. Instructor Charlie Joey Hadley explains mapping fundamentals, like geo markers, scatter plots, hexbin maps, cartograms, and more. Charlie walks you through processing GIS data from Excel and working with GIS data formats such as raster, vector, sf, and sp. She demonstrates how to create, label, and transform static maps with ggplot2, then dives into building interactive, mobile-ready maps using Leaflet, an HTML widget package for creating interactive maps with R. Plus, Charlie covers base maps and tiles, projections, the Coordinate Reference System (CRS), and more.",Course,2024-07-23 18:56 UTC,N/A,false,N/A,
Data Engineering Project: Build Streaming Ingestion Pipelines for Snowflake with AWS,"As data engineers, it’s difficult to ignore the ever-growing importance and demand for streamed data. In this course, designed uniquely for experienced data professionals looking to modernize their technical skill set, join instructor and data engineer Sagar Suri as he demystifies the process of building streaming ingestion pipelines for the industry-leading lakehouse solution, Snowflake, using popular tools such as Kafka and AWS. Get an overview of data streaming, AWS, and Snowflake to prepare to start building a streaming pipeline on your own. Along the way, learn how to install and set up Snowpipe and Kafka to gather and send data directly into Snowflake.",Course,2025-12-11 12:54 UTC,N/A,false,N/A,
C# Practice: Generic Collections,"Join senior LinkedIn Learning instructor Walt Rischer in this hands-on, interactive, skills-first coding course designed uniquely for intermediate C# developers. Explore generic collections skills in C# to boost your technical know-how or prepare for an interview to land a new role. This course includes Code Challenges powered by CoderPad. Code Challenges are interactive coding exercises with real-time feedback, so you can get hands-on coding practice to advance your coding skills. Walt helps you develop your skills as a C# programmer with six specific, query-focused coding challenges. Practice skills like inserting into List<T>, examining dictionary contents, using a PriorityQueue, using a slice to get a subset, using the ConvertAll method, and performing HashSet operations.",Course,2024-07-01 15:51 UTC,N/A,false,N/A,
Advanced C++: Building Projects with CMake,"This advanced course on CMake for C++ is designed to equip experienced C++ developers with the skills required to build and manage complex projects more effectively. Explore the essentials of CMake from the ground up, gaining hands-on experience with setting up, configuring, and optimizing build environments. Join instructor Károly Nyisztor as he covers everything from integrating third-party libraries to writing cross-platform scripts, with an emphasis on automation and scalability. By the end of this course, you’ll be prepared to use CMake to streamline the build process, improve efficiency, and handle complex project structures in any professional setting.",Course,2025-08-30 05:32 UTC,N/A,false,N/A,
Sich als Berufseinsteiger:in richtig bewerben,"Stehen Sie am Ende Ihres Studiums und suchen nach dem idealen Einstieg in den Arbeitsmarkt? <br>
Sie sind Berufsanfänger und fragen sich, wie Sie Ihren Traumjob bekommen? 
Mustafa Toga hat Hunderte von Einstellungsgesprächen mit Berufseinsteigern geführt und zeigt Ihnen in diesem Videokurs, worauf die Verantwortlichen auf Arbeitgeberseite achten. Lernen Sie, wie Sie sie für sich klären, worauf sie sich bewerben wollen. Lassen sich beraten, wie Sie sich am besten auf das Vorstellungsgespräch vorbereiten. Nutzen Sie die Tipps für das Jobinterview und erfahren Sie, wie Sie sich nach dem Gespräch richtig verhalten. Mit dem Expertenwissen aus diesem Kurs steigern Sie die Chancen Ihren Traumjob deutlich.",Course,2025-05-06 10:25 UTC,N/A,false,N/A,
Introduction to Artificial Intelligence (2023),"<p>Computer scientists are just a small slice of people working in artificial intelligence. Most of the people working in AI are project managers, product managers, directors, and executives. People just like you. This course helps you grasp key concepts in artificial intelligence. You’ll see how AI can enhance your products, life, and career. AI has been around for over half a century. Even with its huge strides, the core ideas in machine learning and neural networks are still accessible. </p><p> 
This course is designed for project managers, product managers, directors, executives, and students starting a career in AI. Get a high-level overview of the top tools in the field. First, see what it means for a system to display “intelligence.”  Then, learn algorithms and techniques involved in machine learning, artificial neural networks, and deep learning. Once simplified, AI looks less like magic and more like an exciting new set of technology tools. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-science-professional-certificate-by-knime"" target=""_blank"">Professional Certificate</a> from KNIME.</p>",Course,2025-01-08 18:15 UTC,N/A,false,N/A,
"Intro to Snowflake for Devs, Data Scientists, Data Engineers","<p>Ready to get started with Snowflake, the easy-to-use platform for building applications, data pipelines, AI models, and workflows? In this course, you’ll progress from zero all the way to creating user-defined functions, using a Snowflake Cortex LLM function, editing a Streamlit app, and more. Learn to use Snowflake’s core objects such as virtual warehouses, stages, and databases, before turning to more advanced objects and features such as time travel, cloning, and stored procedures. By the end of this course, you’ll be ready to start building with Snowflake and to take more advanced Snowflake courses, including courses in data engineering and generative AI.</p><p>This course was created by Snowflake, Inc. We are pleased to host this training in our library.</p>",Course,2025-11-28 12:18 UTC,N/A,false,N/A,
Prompt Engineering and AI Agents with ChatGPT,"Explore how OpenAI's updates transform prompt engineering with new agentic features. Learn to use variables and identifiers for reusable prompts and convert them into custom GPT agents. Master the @ mentioning system for task-specific GPTs, and discover advanced features like memory management, vision, audio processing, and custom instructions.",Course,2025-08-08 18:58 UTC,N/A,false,N/A,
ASP.NET Core: Communication Management,"Are you looking to add an email service to your ASP.NET Core application in order to send, receive, and even track emails? In this course, instructor Ervis Trupja shows you how, explaining how to use services such as SendGrid, a reliable cloud-based email service, to send and track emails and help build your business. Discover why it's important to use email services in your app, as well as why sending regular emails to customers can help you grow your business. Discover how to set up a SendGrid development environment and start sending emails and attachments to recipients. Learn how to set up event webhooks in SendGrid, create an API endpoint in an ASP.NET Core application, and use it to update the email status in real time. Plus, get insights on how to construct a dashboard to get insights on your email activity.",Course,2025-08-03 05:10 UTC,N/A,false,N/A,
Discovering .NET 8,"The newest version of .NET, .NET 8, was released in November 2023, and comes with a slew of new features. In this course, Microsoft MVP Christian Wenz takes you through the highlights of the latest .NET release, explaining what’s new in the .NET SDK, app frameworks like ASP.NET Core and Blazor, enhancements in C3, and more. Plus, learn what’s new for web and mobile apps, including features for minimal APIs, new endpoints for authentication, and .NET Aspire.",Course,2025-09-13 16:56 UTC,N/A,false,N/A,
What Is Generative AI?,"<p>Whether you work in film, marketing, healthcare, automobile, or real-estate, generative AI is changing the way your job is executed, and those who adapt early will reap its benefits sooner. All professions will be affected by generative AI. Its invention can be compared to the invention of photography, a true creative revolution. If you want to be part of the leaders that are advancing this revolution, this course can get you started on your learning journey.</p><p>In this course, generative AI expert Pinar Seyhan Demirdag covers the basics of generative AI, with topics including what it is, how it works, how to create your own content, different types of models, future predictions, and ethical implications.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-01-08 18:16 UTC,N/A,false,N/A,
Building Applications Using Amazon Bedrock,"Learn how to build generative AI applications using Amazon Bedrock. In this course, Lee Assam, a principal technologist as well as a university instructor, covers a series of typical use cases, including a semantic search using the RAG (Retrieval Augmented Generation) architecture via a conversational chatbot, text summarization, and content generation. Discover how to use the LangChain framework to build Generative AI applications. Get an introduction to Streamlit, which has become the de facto platform to easily prototype and deploy web-based data and Generative AI applications. Use vector stores like Knowledge Bases for Amazon Bedrock and Amazon Kendra to index documents and websites. Step through building a conversational chatbot and implementing a variety of application enhancements. The course uses Python for development, and when you finish this course, you will be able to build and deploy Generative AI applications using Amazon Bedrock, using the tools you learn here.",Course,2025-08-12 09:53 UTC,N/A,false,N/A,
AWS CloudFormation for Beginners,"CloudFormation automates provisioning of networking, security, and other Amazon Web Services. CloudFormation is an integral part of automated infrastructure delivery with AWS, and a must-have for DevOps who want to speed up IT deployments. This course provides the knowledge necessary to start working with this important tool. Explore the anatomy of CloudFormation and the structure of templates, and then find out how to create your own templates to deploy resources such as S3 buckets and EC2 web servers. Instructor Aater Suleman also explores advanced scenarios, such as using parameters and mapping in templates, supporting a continuous integration/continuous delivery pipeline, and conditionally including resources, and provides tips for using CloudFormation in teams.",Course,2020-05-25 07:01 UTC,N/A,false,N/A,
Level Up: C++,"<p>C++ is one of the most popular programming languages today, and this course enables you to check how your skills measure up. Instructor Eduardo Corpeño presents a series of programming challenges to help you practice. Learn how to use GitHub Codespaces with the course, then dive into the challenges, beginning with checking for palindromes and sorting an array and continuing through to more advanced challenges like JSON file validation and the birthday problem. You can move through the challenges at your own pace, in order or searching for particular challenges you want to complete.</p> 
<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace.</p>
<p>Each installment of the <i>Level Up</i> series offers at least 15 bite-sized opportunities to practice programming at various levels of difficulty, so you can challenge yourself and reinforce what you’ve learned. Check out the “Using GitHub Codespaces with this course” video to learn how to get a codespace up and running.</p>",Course,2025-06-05 14:45 UTC,N/A,false,N/A,
Build AI Agents and Chatbots with LangGraph,"<p>Conversational chatbots are growing in popularity, and nearly every product or service supports one today. Agentic AI provides capabilities that can provide chatbots with higher levels of autonomy and value. In this course, instructor Kumaran Ponnambalam helps you to apply agentic AI to build sophisticated chatbots that can provide the next generation of self-service. Kumaran takes you through the step-by-step process of building a chatbot with agentic capabilities using LangChain and LangGraph, and discusses best practices for building agentic chatbots.</p>

<p>This course is integrated with GitHub Codespaces, an instant cloud developer environment that offers all the functionality of your favorite IDE without the need for any local machine setup. With GitHub Codespaces, you can get hands-on practice from any machine, at any time—all while using a tool that you’ll likely encounter in the workplace. Check out “Setting up GitHub Codespaces"" with this course to learn how to get started.</p>",Course,2025-11-17 17:51 UTC,N/A,false,N/A,
Using Lightweight AI with Small Language Models,"Large language models like GPT, Llama, and Gemini are powerful, but that power comes at the cost of speed, efficiency, and compute power. For many AI applications and tasks, smaller, more efficient, and more specialized models can perform to the same level as LLMs with higher speed, less power, and less cost. In this course, learn what lightweight AI models are, when to use them, and how these models will figure into the future of AI. Instructor Morten Rand-Hendriksen also shares a quick demo of how to get started with Phi-3, a family of small-language models from Microsoft.",Course,2025-11-22 09:21 UTC,N/A,false,N/A,
AI Trends,"<p>AI has shifted swiftly from the realm of science fiction to everyday use. But of the multitude of tools and technologies now available, which ones are best suited to your workflows and organization? In this ongoing series, industry experts guide you through the AI products and concepts that are out there—and how to identify what is most likely to benefit your organization.</p>

<p>To provide you with a variety of perspectives, each lesson is taught by a different AI thought leader: senior staff instructor Morten Rand-Hendriksen, AI ethicist Vilas Dhar, VP of engineering and AI product strategy at LinkedIn, Xavier Amatriain, and more! Tune in to start identifying the best ways to bring AI into your organization!</p>

<p>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.</p>",Course,2024-12-19 08:20 UTC,N/A,false,N/A,
AWS: Storage and Data Management (2017),"Amazon Web Services offers solutions that are ideal for managing data on a sliding scale—from small businesses to big data applications. This course teaches system administrators the intermediate-level skills they need to successfully manage data in the cloud with AWS: configuring storage, creating backups, enforcing compliance requirements, and managing the disaster recovery process. The training can also be used as preparation for the Data Management domain within the AWS Certified SysOps Administrator exam.<br><br>

Join AWS architect Brandon Rich and learn how to configure object storage solutions and lifecycle management in Simple Storage Service (S3), a web service offered by AWS, and migrate, back up, and replicate relational data in RDS. Find out how to leverage flexible network storage with Elastic File System (EFS), and use the new AWS Glue service to move and transform data. Plus, learn how Snowball can help you transfer truckloads of data in and out of the cloud.",Course,2019-05-24 09:22 UTC,N/A,true,N/A,
"Build a Faster, More Structured Express API with Node.js and TypeScript","JavaScript is not going anywhere, but TypeScript is being used more and more in larger, production level projects. Being able to understand and use TypeScript in a backend environment will be useful for those who are interested in upgrading their largest JavaScript projects. In this course, software engineer Dakota Fabro teaches you how to: configure a project for TypeScript; configure a database connection for use with the API; build a seed file for the development process; build an Express server utilizing TypeScript; use Jest to test your API endpoints; host your API as a web service using Render; and write a proper README to explain and describe API routes for frontend developers.",Course,2025-07-18 07:27 UTC,N/A,false,N/A,
Nano Tips to Uncover Your Strengths with Shadé Zahrai,"<p>Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, explore the power of uncovering your inner strengths and managing your weaknesses to promote personal growth.</p><p>Join peak performance researcher and behavioral strategist Shadé Zahrai to learn the secrets of identifying and evolving your strengths with a genuinely curious, growth-focused mindset. Unearth your best possible self and start building on the innate qualities of your character, gathering feedback, unlocking your full potential, seeking balance, and finding your flow state. Along the way, Shadé shows you how to scrutinize your weaknesses to weed out bad habits, play to your strengths, and invest in your future self.</p>",Course,2025-11-20 13:59 UTC,N/A,false,N/A,
"Learning SCADA: Collect, Analyze, and Visualize Data for Industrial Automation","Working with all the technology involved in industrial automation—machines, sensors, controllers, monitors, and more— results in a tremendous amount of data and information. SCADA (supervisory control and data acquisition) is a powerful control system that is designed to collect, analyze, and visualize data from the industrial process. In this course, Zara Khalil first provides an introduction to SCADA—the system basics, components, architecture, and suggested software. She then dives into a hands-on project so you can see SCADA in action as you set it up for yourself.",Course,2025-08-27 03:53 UTC,N/A,false,N/A,
Creating a Book Search Engine from Scratch Using Java and GitHub Copilot,"In this intermediate-level course, you will learn how to build a comprehensive book search project using Java, Maven, Spring Boot, PostgreSQL, and Docker. Download and prepare book data from a public archive, then design and implement a PostgreSQL database schema optimized for full-text search. Containerize the database with Docker to streamline the development process. Learn how to create RESTful APIs for searching and providing insights based on various dimensions, such as publication year and author. Find out how to use VS Code and GitHub Copilot to enhance productivity and efficiency. When you complete this course, you'll have the skills to develop, test, and document robust APIs, ready for deployment, and you will have the skills and knowledge needed to build and deploy a comprehensive book search project, leveraging modern tools and technologies to create a powerful and efficient application.",Course,2025-08-22 15:05 UTC,N/A,false,N/A,
Multimodal Prompting with Google's Project Gemini,"Explore Project Gemini, Google's transformative multimodal artificial intelligence approach. Understand how to leverage Gemini’s power in your applications for enhanced outcomes. This course covers the Nano, Pro, and Ultra models - their features, practical uses, and differences. We'll guide you through what's available now, the roadmap and upcoming releases, starting with Google Bard and extending to Google’s Developer tools released Dec 13th. Perfect for developers and businesses gearing up for multimodal platforms.",Course,2025-06-22 13:11 UTC,N/A,false,N/A,
Automate and Innovate with Chat GPT AI Agents and Zapier,"Explore the future of work productivity: leveraging AI agents in tandem with Zapier. In this course, instructor Jules White shows you how to use ChatGPT, AI agents, and Zapier to build automation tools that can handle complex tasks, boost your efficiency, and help you get more done faster with less stress. Along the way, gather insights on how to harness these tools to streamline your workflow and focus on what matters most. Upon completing this course, you’ll be prepared to automate and innovate, transforming the way you work to achieve your goals.",Course,2025-08-25 13:00 UTC,N/A,false,N/A,
Responsible AI and Application Development,"<p>In this course, award-winning AI researcher Laurence Moroney guides you through how to ensure responsible and ethical AI development. Learn how to collect and preprocess data in ways that maintain privacy and reduce biases. Discover advanced techniques in data augmentation that enhance your datasets while safeguarding against introducing unfairness. Dive into optimizing neural network architectures and learn how to identify and mitigate potential biases in your loss functions and optimization strategies. Explore transfer learning and how to assess and address inherited biases from pre-trained models. By focusing on ethical AI, you can build systems that not only perform well but also serve all user demographics fairly.</p></p>This course is part of the learning path <a href=""https://www.linkedin.com/learning/paths/building-ai-products-implementing-responsible-ai-professional-certificate-by-linkedin-learning?u=104"" target=""_blank"">Building AI Products: Implementing Responsible AI Professional Certificate by LinkedIn Learning</a>. Complete all courses and pass the final exam to earn a Professional Certificate you can add to your LinkedIn profile.</p>",Course,2025-06-12 10:50 UTC,N/A,false,N/A,
"C# Essential Training 2: Generics, Collections, and LINQ","As one of the most popular programming languages, C# continues to make programming easier and more fun with each new version. In this course, instructor Matt Milner digs deeper into essential features of C#, such as generic types, collections, handling exceptions, asynchronous programming with tasks, and more. Matt begins with helping you understand and work with generic types, then moves on to understanding collection types, working with collections, and understanding concurrent collections. He walks you through handling different types of exceptions, including creating custom exceptions. Matt explains threading basics and shows you how to use async and await in the task based programming model. After covering delegates and events, he goes over the case for extension methods, as well as how to write and use an extension method. Plus, Matt discusses the goals of Language Integrated Query (LINQ), how to query collections with LINQ, and how to filter and order your queries.",Course,2025-08-07 07:34 UTC,N/A,false,N/A,
Cloud Architecture: Design Decisions (2018),"Strong architecture begins with smart design decisions. With the cloud, the options can seem almost limitless. By focusing on your business and application needs, and how they may change over time, you can make intelligent choices, leading to a more efficient, cost-effective infrastructure.</br></br>

This course is targeted at IT professionals who have a basic understanding of the cloud and are ready to move on to creating a cloud architecture. David Linthicum begins with the business case and requirement patterns, and then discusses mapping requirements to individual architecture concepts. There are multiple aspects to consider: storage, processing, governance, and more. David also covers advanced topics such as serverless architectures and containers. Watch and learn how to make sense of today's requirements, and plan your cloud-based architecture to scale with what your company needs to succeed tomorrow.",Course,2022-01-25 11:27 UTC,2022-01-25 11:24 UTC,false,N/A,
Oracle HeatWave MySQL Foundations,"<p>This course is designed to introduce beginners to the parallel, high-performance, native in-memory query acceleration of MySQL HeatWave. Learn about configuring a cluster and using the innovative Autopilot features to accelerate your MySQL performance for analytics and mixed workloads. Along the way, discover the inner workings of HeatWave’s query accelerator, including how to use Auto Parallel Load, load data into a HeatWave cluster, offload queries, and much more, optimizing your HeatWave workloads using advisors, such as Auto Encoding Advisor, Auto Data Placement Advisor, Query Insights, and Auto Unload Advisor.</p><p>Note: This course was created by Oracle University. We are pleased to host this content in our library.</p>",Course,2025-11-11 20:20 UTC,N/A,false,N/A,
Foundations of Algorithmic Thinking with Python,"The word “algorithm,” at one time the sole province of mathematics and computer science, has entered the modern vernacular because, for better or worse, algorithms have never been more important or more impactful in daily life. If you’re a developer, you need to be familiar with a wide range of algorithmic thinking in order to be able to solve new problems as they present themselves. If you’re already familiar with Python, becoming more versed in algorithmic thinking is a great way to increase your value as a developer. In this course, Robin Andrews explains how Python, because of its clarity and expressiveness, is the ideal tool for exploring algorithmic thinking. He shows you tools to help you understand the flow of algorithms, explains the brute force approach to solving algorithms, details the concepts of time and space complexity with regard to algorithm analysis, the decrease and conquer strategy, and much more.",Course,2025-06-23 12:55 UTC,N/A,false,N/A,
RAG Fine-Tuning: Advanced Techniques for Accuracy and Model Performance,"Unlock the power of retrieval-augmented generation (RAG) with this hands-on course on RAFT (retrieval-augmented fine-tuning). Learn to integrate fine-tuning with RAG to create domain-specific models that deliver accurate, contextually relevant responses. From understanding core concepts to implementing advanced techniques like RAFT and using tools like Azure AI Studio, this course equips you with the skills to enhance and deploy sophisticated RAG systems. Ideal for AI practitioners aiming to optimize model performance in specialized domains.",Course,2025-05-07 22:54 UTC,N/A,false,N/A,
Automation with Python and PowerShell for IT and Cybersecurity,"<p>Unlock the power of automation using Python and Microsoft PowerShell. Say goodbye to cumbersome manual tasks by learning how to integrate essential programming concepts and practical applications to boost efficiency and productivity. This course, designed by industry-leading cybersecurity professional development platform Cybrary, covers the fundamentals of automating common tasks related to file management, data processing, email and web applications, system administration, and security protocols. By the end of this course, you’ll be prepared to get more done faster so you can stay focused on what matters most.</p><p>Note: This course was created by Cybrary. We are pleased to host this training in our library.</p>",Course,2025-11-02 05:53 UTC,N/A,false,N/A,
Python Quick Start,"<p>Are you looking to get started with Python, but not sure where to begin? In this course, Python expert and trainer Lavanya Vijayan shows you the basics of what Python is, why it is such a powerful and in-demand programming language, and what you need to know to start writing it.</p><p>Discover the fundamentals of programming in Python through data, functions, sequences, conditional statements, iteration, loops, and recursion. Along the way, Lavanya provides a brief introduction to object-oriented programming, its key applications, and industry best practices. By the end of this quick start course, you’ll be well on your way with becoming proficient in Python to boost your skill set and advance your career.</p><p>This course was created by <a href=""https://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.</p><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" alt=""Company logo for Madecraft; the letter M configured as part of a printing press"" width=""20%"" height=""20%"" /><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/network-automation-professional-certificate-by-arista-networks"" target=""_blank"">Professional Certificate</a> from Arista Networks.</p>",Course,2025-11-30 09:15 UTC,N/A,false,N/A,
"Learning Full-Stack JavaScript Development: MongoDB, Node, and React","Learn by doing! Learn full-stack JavaScript development by building a web application with MongoDB, Node.js, and React.js.

Learn how to use Node as a web server and an API server, how to consume data and build user interfaces with React, and how to read and write data with a MongoDB database. React allows you to build full-featured, data-driven applications faster and more efficiently than what is possible with JavaScript alone.

Samer Buna introduces modern JavaScript programming concepts, with an emphasis on functional methods and open-source tools. The lessons are almost completely hands-on, with live coding demonstrations that bring the concepts home.",Course,2025-08-06 13:14 UTC,N/A,false,N/A,
Learning Cloud Computing: Core Concepts (2019),"Migrating to the cloud? Get an overview of cloud computing and the key concepts that you should consider when making a move to the cloud. There are three types of cloud solutions: software as a service, infrastructure as a service, and platform as a service. Instructor David Linthicum helps you evaluate these solutions, including Amazon Web Services, Google Cloud Platform, Salesforce.com, and Office 365, as well as the data and applications that are best suited to the cloud. David explains how to select a cloud provider and plan a migration. He also reviews the security considerations and typical day-to-day operations and tools IT administrators need to keep their cloud-based infrastructure up and running.",Course,2022-01-24 11:26 UTC,N/A,false,N/A,
Windows Server 2019: Configure Hyper-V,"Microsoft offers Windows Server 2019 users the ability to create virtualized computing environments with Hyper-V. This course explains how to install, configure, and work with the Hyper-V role in Windows Server 2019. Instructor Ed Liberman guides you through creating virtual switches, virtual machines, and virtual hard disks, and shares how to install a guest OS and manage checkpoints. He also covers how to efficiently implement storage migration and live migration.",Course,2025-11-04 18:51 UTC,N/A,false,N/A,
ETL in Python and SQL,"Data is increasing exponentially as the world continues to generate an immense amount. In this course, a data engineer with over 5 years of experience, Jennifer Ebe, will show you how to build systems that gather data from various sources, transform it and store data so you can derive insights from it effectively. We will go over what ETLs are and how you create them. We will learn how to use Python to extract and transform data, we will explore  our data using pandas and SQL. And finally, load data into our target system. You will also get practice scheduling ETL jobs using Python. Each chapter comes with helpful, hands-on challenges to help you practice what you learn.",Course,2025-11-27 04:04 UTC,N/A,false,N/A,
