Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Amazon Web Services: Data Analytics,"Many modern organizations have a wealth of data that they can draw from to inform their decisions. But all of this information can't truly benefit a business unless the professionals working with that data can efficiently extract meaningful insights from it. Amazon Web Services (AWS) offers data scientists an array of tools and services that they can leverage to analyze data. In this course, learn about best practices, patterns, and tools for designing and implementing data analytics using AWS. Explore key analytics concepts, common methods of approaching analytics challenges, and how to work with services such as Athena, RDS, and QuickSight. Plus, discover how to visualize text-based data in a more visually intuitive way, use partner solutions for analytics from the AWS Marketplace, and more.",Course,2020-05-18 09:51 UTC,N/A,false,N/A,
Talent Sourcing (2016),"In the war for talent, it's important to create an effective recruiting strategy. It begins with knowing where to find or ""source"" the best possible candidates. You need to proactively identify and attract top talent, so that when a position becomes available, you have developed a pipeline of qualified candidates. Learn the meaning of talent sourcing and how to create and implement a winning sourcing strategy. Award-winning recruiter and trainer Barbara Bruno introduces basic and higher-level candidate sourcing techniques, explains how to identify resources with the best ROI, and explains how to use big data, social media, and tools like LinkedIn Recruiter in your sourcing efforts.",Course,2020-05-01 13:02 UTC,N/A,false,N/A,
Training Neural Networks in C++,"Learn about the purpose, structure, and training process of neural networks to improve your machine learning skills. In this project-based course, instructor Eduardo Corpeño teaches you how to create an intelligent system with a neural network from scratch in C++, as well as how to choose the right neural network architecture and training method for each problem. Eduardo starts by explaining the difference between a neural network and other programming tools. He goes over why this course uses C++ and how to add different types of neural networks to your toolbox. The inspiration for artificial neural networks is the brain, and Eduardo relates parts of a biological neuron to C++ elements, then shows how to use activation functions and perceptrons in building neuron models. Eduardo covers the steps you will need to build and train your network. He explains segment display recognition, then guides you through designing and training your own SDR neural network.",Course,2025-08-15 14:19 UTC,N/A,false,N/A,
Learning Jira Software,"Software development is a special type of work and great tools are needed to do it well. Jira Software’s features extend Jira so development teams can implement feature requests, track progress, fix bugs, and manage their work from requirements gathering to deployment. In this course, Rachel Wright covers: How Jira Software extends Jira with development-specific features; ways to leverage backlogs, sprints, and fix versions;  how to use different software project types; the differences between company-managed and team-managed projects; how to leverage filters and filter subscriptions; how to create your own custom boards and dashboards; and more. Rachel also presents several challenges and solutions, so you can practice what you learn as you follow along.",Course,2025-11-21 19:05 UTC,N/A,false,N/A,
Personal Branding mit LinkedIn,"Personal Branding ist mehr als nur Selbstmarketing – es ist eine Art Karriereversicherung. Lassen Sie sich daher in diesem Kurs von Natalia Wiechowski zeigen, wie Sie mit LinkedIn eine einflussreiche Personal Brand aufbauen und wie Sie am meisten davon profitieren können. Sie erlernen die Grundlagen des Personal Branding, erkennen die Unterschiede verschiedener sozialer Medien für den Aufbau Ihrer Personal Brand und erhalten detaillierte Tipps zur Umsetzung auf LinkedIn. Mit einer klaren Personal Brand werden Sie nicht nur mehr Kunden an sich ziehen können und mehr Geld verdienen. Sie machen sich Ihre Einzigartigkeit bewusst und können diese dann auch taktisch einsetzen. Nutzen Sie die umfassende Erfahrung von Natalia Wiechowski, um gezielt Ihre eigene Marke zu entwickeln und zum Hauptdarsteller Ihres eigenen Lebens zu werden.",Course,2024-11-07 10:35 UTC,N/A,false,N/A,
Quantum Cryptography and the Future of Cybersecurity,"The frequency and severity of hacking and other attacks on our information systems are increasing. Despite remarkable progress in cybersecurity innovation, too many vulnerabilities continue to exist, and the threats are increasingly sophisticated. Quantum cryptography may offer some optimism in the long term. By leveraging the fundamentals of quantum mechanics, this set of emerging technologies allows information to be protected in novel new ways. Consequently, it's poised to shake up the world of information security. In this course, Jonathan Reichental lays out what quantum cryptography is, as well as the journey ahead to operationally realize quantum-based encrypted communications.",Course,2025-06-13 00:59 UTC,N/A,false,N/A,
Model Context Protocol (MCP): Hands-On with Agentic AI,"The Model Context Protocol (MCP) allows developers to add agent behavior to LLMs by providing a universal protocol providing context to language models so they can interface with data and applications in a consistent way. MCP servers expose resources (data), tools (actions), and prompts (instructions) for the LLM and the user to use in performing more complex operations. In this course you’ll explore how the MCP works in Claude Desktop to extend its functionality, and you’ll build your own MCP servers using Python and TypeScript to give LLMs new capabilities to do things on the computer, connect with external APIs, and perform advanced multi-step actions.",Course,2025-09-22 05:06 UTC,N/A,false,N/A,
Building Intelligent Chatbots on AWS,"Voice control and interaction is becoming more common—and more expected from our apps. Amazon Lex provides speech recognition and natural language understanding, allowing developers to build their own custom logic around it. This course introduces a specific use case for Lex: intelligent chatbots that can respond to and redirect customer inquiries. Discover how to use the Lex API and CLI, build and test your bot, and configure the prompts and responses that will make your bot seem trustworthy and useful. Instructor Bear Cahill also explains how to publish your bot to the Amazon cloud and leverage lambdas—serverless functions—for user data validation and intent fulfillment. By the end of the course, you’ll know how to build smart, sophisticated chatbots and use Lex to do all the heavy lifting.",Course,2024-09-01 06:30 UTC,N/A,false,N/A,
Microsoft Azure DevOps Engineer Expert (AZ-400) Cert Prep: 6 Implement an Instrumentation Strategy by Microsoft Press,"<p>Get ready to take your skills to the next level and tackle the sixth domain of the Azure DevOps Engineer Expert (AZ-400) certification exam: Implement an Instrumentation Strategy. Join the experts from Microsoft Press for an overview of developing an instrumentation strategy and the tools that can help you accomplish this. Learn about Azure Monitor and Application Insights. Go over how to monitor virtual machines, set up alerting, and use the Visual Studio App Center. Explore end-to-end traceability and documentation automation. Plus, learn to use Azure Bicep and Azure Automanage Machine Configuration. By the end of this course, you’ll be ready to tackle the sixth domain of the official exam.</p>
 
<p>This course was created by Microsoft Press. We are pleased to host this training in our library.</p>",Course,2025-05-12 18:29 UTC,N/A,false,N/A,
Building AI Agents with AutoGen,"In this comprehensive, Harshit Tyagi—a data science instructor and mentor—equips you with the skills to develop AI agents using the AutoGen framework. Covering key design patterns such as Reflection, Tool Use, and Multi-Agent Collaboration, this course enables the creation of multi-agent systems capable of handling complex tasks autonomously. Through hands-on projects, you will integrate external tools and refine agent capabilities with human feedback. Ideal for intermediate to advanced users with basic Python experience, this course prepares you to automate complex workflows effectively.",Course,2026-02-05 05:53 UTC,N/A,false,N/A,
Leveraging Agentic AI in Cloud Computing: Strategy and Tool Optimization,"Are you looking to learn more about the promise of AI agent technology in cloud computing? Join instructor David Linthicum as he covers some current use cases as well as future opportunities for leveraging these powerful new systems and tools. Ideal for cloud architects, DevOps engineers, and cloud developers, this course was designed to help boost your understanding of AI, including AI agents, and the intersection with cloud computing. Explore the core concepts and common tools of agentic AI, with examples drawn from real-world applications. David guides you through the process of creating, deploying, managing, and optimizing successful AI agents. Along the way, get recommendations for strategic approaches, advanced tooling techniques, and practical guidance on evaluating agents for performance, impact, and efficiency. By the end of this course, you’ll be equipped with the skills you need to harness the power of agentic AI to drive innovation and value for your organization.",Course,2025-07-29 06:20 UTC,N/A,false,N/A,
Microsoft SQL Server 2022 Essential Training,"This course with database expert Adam Wilbert introduces you to creating relational databases with SQL Server and the graphical interface, SQL Server Management Studio. Adam walks you through your first steps in the newest edition of Microsoft's database management system. He takes a detailed look at creating efficient tables and adding rows of data, importing existing tabular data from spreadsheets, and writing queries to view and process that data. Adam also covers important database management tasks such as creating backups, securing access to sensitive information, and leveraging the capabilities of Microsoft’s Azure cloud infrastructure.",Course,2025-09-02 11:02 UTC,N/A,false,N/A,
Modern C++: Advanced Techniques and Features,"<p>This course helps you get up to speed with important techniques and features available in modern C++. Learn about movability and value references, smart pointers, functional programming, multithreading, and more. Expert trainer Andy Olsen guides you through the new features and shows you how to create and implement efficient, elegant, and contemporary code.
</p><P>
Note: This course was created by Pearson. We are pleased to host this training in our library.</p>",Course,2025-08-14 13:10 UTC,N/A,false,N/A,
Advanced Threading in C#,"Learn how to write C# applications that perform multiple tasks concurrently-aka multithreaded applications. Programs that use multithreading are more responsive to user input because the user interface stays active as processor-intensive tasks execute on separate threads. Multithreading is also useful when you create scalable applications because you can add threads as the workload increases. In this course, Microsoft MVP Chander Dhall reviews the basics of threading and signaling, and then shows how to use the popular .NET library for parallel execution, TPL; the query syntax PLINQ; and the recommended asynchronous programming pattern, TAP. By the end of the course, he shows how to turn sequential code into a multithreaded application that runs five times faster than before.",Course,2018-08-17 06:59 UTC,N/A,false,N/A,
Practical GitHub Copilot,"<p>Copilot—a paid service from GitHub—is revolutionizing the way code is written. According to reports from developers who use it, a vast majority feel more productive and can perform repetitive tasks almost twice as fast. If you're interested in learning how to solve problems with Copilot and become a more efficient developer, join instructor Ray Villalobos in this hands-on course as he shows you not just how to use Copilot to find the best solutions to concrete code problems, but how to make it work best in specific contexts. From setup to navigating the tools to refining the results, Ray demonstrates the practical applications of Copilot’s powerful features.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-github-professional-certificate"">Professional Certificate</a> from GitHub.</p>",Course,2025-08-05 12:05 UTC,N/A,false,N/A,
Generative AI: The Evolution of Thoughtful Online Search,"<p>For years, we’ve relied on search engines like Google and Bing to help us navigate the ever-evolving internet. But now that reasoning engines like Chat-GPT have come onto the scene, how can you prepare for the future of online search? In this course, instructor Ashley Kennedy shows you how to get up to speed with the key distinctions and best practices of using reasoning engines that leverage generative AI.</p><p>Learn more about the core concepts of generative AI-driven reasoning engines and how they differ from search engine strategy. Along the way, Ashley interviews subject matter experts and offers easy-to-follow advice on how to harness the power of prompt engineering with thoughtful search strategies that help account for the nuances of language, tone, qualifiers, and more.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-01-08 18:16 UTC,N/A,false,N/A,
Real-World GIS,"Geographic information systems, or GIS, is a way to approach mapping and spacial analysis using a computer environment. Learning GIS requires training in cartography, database management, and spatial analysis. But once you've built a solid foundation in the basics, how do you approach GIS challenges in the real world? In this course, Dr. Jason VanHorn helps you master practical, real-world GIS scenarios. He shows you how to get GIS data; uses for GIS data; how to understand and master projections; how to collect GIS data in the field; and how to build online web maps and mapping applications using ArcGIS.com. Jason also provides a series of challenges and solutions you can use to build your own GIS project from scratch, and finishes with some practical advice on the tips on how you can land a GIS job—and the different types of GIS jobs that are out there.",Course,2025-06-14 14:30 UTC,N/A,false,N/A,
Exploring AIOps,"<p>It seems like everyone is talking about the future of AIOps these days. New, cutting-edge AI tools stand to change the entire landscape of ITOps as we know it, adding new functionalities to preexisting models and optimizing all the networks and systems we currently use today.</p><p>Join LinkedIn Learning senior staff instructor and AI whisperer Morten Rand-Hendriksen as he sits down and chats with industry-leading experts Priya Ranjani Mohan and Kumaran Ponnambalam about the basics of how AIOps works in the real world and how you can start to incorporate it into your everyday IT workflows.</p>",Course,2025-06-27 22:31 UTC,N/A,false,N/A,
Agentic AI and Autonomous Development,"<p>Agentic AI is changing the way we work, and coding is no exception. AI agents offer the power of autonomous and seamlessly integrated architects—working right alongside you. In this course, join instructor Noah Gift as he outlines the foundations of the actor model for autonomous development with AI agents in Go, Rust, and Deno. Get tips for building, implementing, and supervising your own actor systems, and learn how to leverage not just AI agents, but subagents as well. Along the way, Noah shows you how to work with your own subagents in Claude, PMAT, and Clippy.</p>This course was created by Noah Gift and Pragmatic AI Labs. We are pleased to host this training in our library.</p>",Course,2026-02-09 10:20 UTC,N/A,true,N/A,
AIOps Foundations: Automating IT Operations using AI,"Amid the ever-evolving IT landscape, organizations strive for operational efficiency and peak performance. However, managing intricate IT ecosystems can present challenges in maintaining uptime, resolving issues promptly, and optimizing processes. Enter AIOps, a game-changing solution poised to reshape IT management practices and set new benchmarks. In this course, management consultant Priya Mohan guides you through a comprehensive exploration of AIOps, covering topics such as data collection, anomaly detection, predictive maintenance, and strategic implementation. Dive into the transformative advantages of implementing AIOps, including substantial savings as you curb downtime, enhance resource allocation, empower your teams to shift from reactive firefighting to strategic planning, and enable accurate forecasting. By the end of the course, you will confidently deploy AI-powered solutions to optimize IT operations, reduce downtime, and enhance overall performance.",Course,2025-11-24 04:20 UTC,N/A,false,N/A,
Windows Server Hybrid Administrator Associate (AZ-801) Cert Prep: 5 Monitor and Troubleshoot Windows Server Environments,"For networking professionals who work in Azure and Windows environments, the AZ-801 exam is likely to be a very popular certification. In this course, Microsoft Azure MVP Michael Durkan guides you through the fifth domain of this exam: Monitor and Troubleshoot Windows Server Environments, covering material that also benefits admins who work in hybrid environments and need to learn best practices. Go over ways to monitor Windows Server using tools like Performance Monitor, Resource Monitor, Hyper-V Resource Metering, and event logs. Explore Azure services, such as a Log Analytics workspace, the Kusto Query Language (KQL), boot diagnostics, VM metrics, and more. Learn how to troubleshoot Windows Server on-premises and via hybrid networking, as well as how to troubleshoot Windows Server virtual machines in Azure. Plus, get practical techniques to troubleshoot Active Directory.",Course,2025-10-31 19:21 UTC,N/A,false,N/A,
Advanced ASP.NET Core: Unit Testing,"No developer wants to turn in buggy code. Unit testing is a highly efficient way to ensure that everything in your app is working by design before it's launched into production. In this course, learn how to write automated tests for your personal or commercial ASP.NET Core apps. Instructor Ervis Trupja details how to unit test ASP.NET Core console, Web API, and MVC apps. Ervis begins by providing a general overview of application testing strategies, as well as how to determine which unit testing framework is right for you. Then, he steps through how to set up and test ASP.NET Core console, Web API, and MVC apps, providing challenges along the way that allow you to put your new skills to the test.",Course,2025-11-06 00:00 UTC,N/A,false,N/A,
Advanced Java: Threads and Concurrency,"Are you looking to boost your Java skills? In this course, join instructor and Java expert Buddhini Samarakkody as she provides an overview of Java threads and the new concurrent programming model. Buddhini covers topics in synchronization such as Java thread memory access and associated problems such as race condition and data race. Explore the purpose of synchronization and how to use it, before turning to asynchronous programming with Future and CompletableFuture. Buddhini shows you how to use executors, the fork/join framework and its core classes, concurrent data structures, Project Loom, and virtual threads. Along the way, be sure to test out your new skills in the exercise challenges at the end of each section.",Course,2026-01-23 02:57 UTC,N/A,false,N/A,
Learning Cloud Computing: Core Concepts,"Migrating to the cloud? Get an overview of cloud computing and the key concepts that you should consider. You can choose from public, private, community, and hybrid clouds and leverage emerging deployment models, such as multicloud. When you use cloud computing, you can get extra capacity online and ready for use minutes after you need it, then scale back down just as easily. Instructor David Linthicum helps you understand what cloud computing is and the impact it can have on your cost efficiency, agility, and more. David explains how to select a cloud provider and plan a migration. He reviews the security considerations, typical day-to-day operations, and tools that IT administrators need to keep their cloud-based infrastructure up and running. David goes into multicloud operations and advanced cloud operations approaches and technologies, then he concludes with a thorough discussion of cloud governance.",Course,2022-01-25 02:26 UTC,2022-01-25 02:22 UTC,false,N/A,
Source Code Control in .NET with Git Using SourceTree,"When you're first starting out, source code control—which allows you to save your development work and review or roll back to a previous state—can seem like an intimidating concept. In this course, learn how to use Git, the preeminent source code control software, which is a natural fit with and fully supported by Visual Studio. Jesse Liberty helps to simplify what can be an unwieldy concept by tackling Git from the ground up, and doing so in the context of a tool: SourceTree. Jesse covers branching and merging, resolving conflicts, adding a tag to a commit, and adding to the stash. Plus, he dives into more advanced topics such as tracking all the commits and changes made to a file.",Course,2019-03-22 10:26 UTC,N/A,false,N/A,
Ethics in the Age of Generative AI,"<p>The amazing potential and opportunity of Generative AI has also brought ethical concerns. How can you address these concerns effectively as you deploy tools and products powered by generative AI? In this course, expert Vilas Dhar equips designers and decision makers to better understand and act on the emerging ethical risks and considerations of generative artificial intelligence. Get a solid introduction to the ethical concerns around generative AI, then learn how to use a framework of ethical analysis to address these concerns. Plus, explore ways you can prepare your organization to address ethics in AI across all stakeholders from technology to C-Suite leaders.</p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/career-essentials-in-generative-ai-by-microsoft-and-linkedin"" target=""_blank"">Professional Certificate</a> from Microsoft.</p>",Course,2025-01-08 18:16 UTC,N/A,false,N/A,
"RAG, AI Apps, and AI Agents for Cybersecurity and Networking","<p>This four-hour course shows you how to harness the power of Large Language Models (LLMs) for both offensive and defensive cybersecurity operations, as well as networking implementations. Gain the practical skills that are reshaping today’s cybersecurity and networking landscape. Learn fundamental RAG concepts and progressively build toward sophisticated agent-based implementations using industry-standard frameworks like LangChain, AutoGen, and LangGraph. </p>

<p>This course goes beyond theoretical concepts, offering hands-on experience with real-world step-by-step AI coding examples. Whether you're a red team operator looking to develop more sophisticated attacks, a blue team analyst seeking to bolster defenses, a security researcher exploring the frontiers of AI in cybersecurity, or a networking professional in need of AI knowledge, this course provides the core basics and skills needed to stay ahead in today’s environments. </p>

<p>This course was created by Pearson. We are pleased to host this training in our library.</p>",Course,2026-02-07 08:02 UTC,N/A,false,N/A,
ISACA Certified Information Systems Auditor (CISA) Cert Prep,"<p>The Certified Information Systems Auditor (CISA) certification enables you to prove your ability to audit an organization's information systems compliance, and this course from Cybrary—a leading cybersecurity professional development platform—puts you on the path to gaining the knowledge you need to pass the exam. Deep dive into the process for auditing information systems. Learn about the government and management of IT. Explore the acquisition, development, and implementations of various information systems. Find out how you can make the best use of information systems operations and business resilience. Plus, review in depth what you’ll need to know about information asset security and control.</p>

<p>This course was created by Cybrary. We are pleased to host this training in our library.</p>",Course,2025-09-05 15:03 UTC,N/A,false,N/A,
Moving from Blender to Maya: Learn a Layered Animation Workflow,"Blender and Maya are industry-standard 3D apps used for everything from architectural and industrial design to movies and games. In this class, designed by Skillshare, learn how to use a layered animation workflow to speed up your 3D animation process and wield more control over character movement. No matter if you’ve been using a pose-to-pose workflow for years and are simply curious to learn more about animation, this course equips you with the skills you need to create a short animation in Maya using layered animation techniques.",Course,2025-07-28 17:37 UTC,N/A,false,N/A,
Learning SQL Programming,"<p>Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats. </p><p>This course is part of a <a href=""https://www.linkedin.com/learning/paths/data-engineering-foundations-professional-certificate-by-astronomer"" target=""_blank"">Professional Certificate</a> from Astronomer.</p>",Course,2025-02-10 19:11 UTC,N/A,false,N/A,
GIS on the Web,"When Geographic Information Systems (GIS) meet some of the world's most exciting web-mapping technology, such as Google Maps, you get richer, more interactive maps and better insights into your data. GIS on the web means using tools like Google Maps, Bing Maps, and Esri to create map mashups: multilayered visualizations that combine data from multiple sources. In this course, Jason VanHorn shows how to use these tools to analyze geodata and create interactive, mobile-ready maps that communicate your ideas better than ever before.",Course,2017-07-18 08:13 UTC,N/A,false,N/A,
Advanced LLMs with Retrieval Augmented Generation (RAG): Practical Projects for AI Applications,"Are you an engineer, solutions architect, or software developer tasked with building enterprise applications? It’s time to get up to speed with the latest AI-powered tools and techniques—in this case, retrieval-augmented generation (RAG). In this course, designed by leading technology educator Pragmatic AI Labs, join instructor Guy Ernest as he outlines the foundational and advanced concepts required to leverage RAG for large language models, including text encoding using embedded vectors, document chunking with enrichment strategies, improving document retrieval, and more. By the end of this course, you’ll be equipped with the skills you need to take advantage of the power of RAG.",Course,2025-11-25 00:01 UTC,N/A,false,N/A,
Angular: Building an Interface,"Angular was built specifically to connect users to services, and interfaces are where that connection happens. In this practical, hands-on course, get started with Angular by learning how to use it to build an interface. Ray Villalobos demonstrates how to start an Angular project right with the command line interface (CLI), before taking a closer look at components and events, as well as how to manage list data. By showing how to build something realistic—a form that lets users add appointments for a business—Ray helps you grasp how to solve real problems with this popular JavaScript framework.",Course,2019-05-10 10:32 UTC,N/A,false,N/A,
Visual Studio Developer Tips,"Discover tips and techniques that can make working in Microsoft Visual Studio simpler, faster, and more interesting. In this series, Walt Ritscher shines a spotlight on helpful shortcuts for Visual Studio. He dives into a variety of topics, including code programming tips, keyboard secrets, application development suggestions, and more.",Course,2018-08-22 07:58 UTC,N/A,false,N/A,
Designing Agentic AI Products (No Code Required),"Agentic AI automates AI workflows using the reasoning power of large language models. Are you ready to go past chatbots to get agents to work for you? In this course, Sudha Jamthe takes you through the foundational knowledge of agentic AI and teaches you how to design an autonomous AI solution to automate your marketing or enterprise business workflow with no-code agentic platforms and tools.",Course,2025-11-08 19:55 UTC,N/A,false,N/A,
Foundations of Geographic Information Systems (GIS) (2021),"Millions of organizations around the world are using Geographic Information Systems (GIS) to make maps that communicate, perform analysis, share information, and solve challenging problems. In this course, Jennifer Harrison, President of TeachMeGIS and a consultant in the GIS field for nearly 30 years, shows you the value of using GIS to solve problems and helps you to master its intricacies.  Jennifer shares how to create maps, stack layers, and evaluate spatial relationships. She explains the essential elements of a GIS and describes attribute tables and how they are used in map display and analysis. Jennifer goes over raster data, as well as lidar data and how it can be used to make a 3D model of real-world features. She also covers ways to source data and import it into GIS. Finally, Jennifer goes over enterprise and mobile versions of GIS. After this course, you'll be able to comprehend the basics of GIS, recognize its core concepts, and get started with GIS programs.
<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""https://media.licdn.com/media/AAYAAgCwAAoAAQAAAAAAAHppnBQxgeyWS2CsU3aDDPcMgw.jpg"" height=""20%"" width=""20%"">",Course,2024-08-12 08:04 UTC,N/A,false,N/A,
Agentic AI for Developers: Concepts and Application for Enterprises,"Agentic AI is at the forefront of the next wave of technological advancements in the generative AI world, transforming the way business processes are executed in the future. As agentic AI becomes more capable of performing tasks traditionally requiring human intelligence and oversight, it is crucial for data scientists and engineers to understand how these systems work and best practices to build them.
 
In this course, Kumaran Ponnambalam discusses the concepts and building blocks for agentic AI. He explores how enterprise use cases can be built with a few examples, and reviews responsible AI considerations for agentic AI.",Course,2026-02-12 12:11 UTC,N/A,false,N/A,
Nano Tips on How to Use Storytelling for Problem Solving with Ash Rathod,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this course, Ash Rathod offers tips for integrating storytelling as a routine practice in problem solving. Learn about understanding your problem through story, storytelling techniques to analyze problems, using stories to persuade and convince, and more.",Course,2025-11-06 21:07 UTC,N/A,false,N/A,
Learning Amazon Web Services (AWS) for Developers (2018),"Amazon Web Services (AWS) is the leading cloud service provider today, ahead of competitors such as Microsoft Azure and Google Cloud Platform. It is seen by many as the standard for functional, reliable, interoperable, and affordable cloud services. Developers need to understand what it means to develop on and migrate to the cloud—and comprehend the overall landscape of AWS before diving into the platform. This training course provides a high-level overview just for developers, focusing on the AWS features and services of the most interest to them. Instructor Bear Cahill introduces AWS Lambda, DynamoDB, ElastiCache, Elastic Bean Stalk, S3, SQS, IAM, EC2, CloudFront, CloudFormation, and many more key features and services.<br><br>

Note: The topics covered here are important prerequisites for the AWS Certified Developer - Associates exam.",Course,2020-05-24 19:59 UTC,N/A,false,N/A,
Agentic AI Architecture Foundations: Designing Autonomous AI Systems,"<p>How are agentic AI systems different from predictive and generative AI systems? How do agentic AI systems work, and how can they be built using different types of AI agents? What are the foundational architectures that agentic AI systems are built upon? With over 100 custom figures, this course provides an engaging visual exploration of the primary architectures, key components, and core modules of agentic AI systems. Join LinkedIn Top Voice and author Thomas Erl as he explains—in clear, simple language, without jargon—the inner workings of intelligent and autonomous agentic AI systems and describes how individual AI agents can be designed to perceive, reason, act, learn, and collaborate with each other to form greater solutions.</p><p>This course was created by Thomas Erl. We are pleased to host this content in our library.</p>",Course,2026-02-04 05:32 UTC,N/A,false,N/A,
Agentic AI Solution Design Patterns,"<p>Learn about the inner workings of agentic AI systems, how agents are designed to think and process data, and how agents interact with each other and the external world. In this course, best-selling author and LinkedIn Top Voice Thomas Erl covers essential design techniques and best practices that encompass internal agent behaviors, external agent interactions, and key agentic AI solution architectures. Intended for architects and engineers, these design patterns provide valuable insights into the underlying architecture and operations of modern agentic AI solutions.</p><p>This course was created by Thomas Erl. We are pleased to host this training in our library.</p>",Course,2026-01-22 10:22 UTC,N/A,false,N/A,
Hebrew for Absolute Beginners,"<p>Brand new to Hebrew? This course is a simple but comprehensive audio course designed to be the easiest way to start learning and speaking Hebrew. Learning Hebrew can be easy or hard, and it all depends on HOW you start. Start the hard way (reading grammar and memorizing words), and you’ll quickly think, “Languages are just not my thing.” Start easy, and you’ll be shocked by how much Hebrew you’ll learn. Listen to real native speakers to get accustomed to the flow of Hebrew. Hear everyday conversations to learn practical dialogue. And start speaking from your first lesson. This course also includes a PDF that covers everything from the audio tracks and much more.</p>

<p>This course was created by InnovativeLanguage.com and EverCourse. We are pleased to host the course in our library.</p>",Course,2025-11-16 01:14 UTC,N/A,false,N/A,
Build with AI: Create Agents with the OpenAI Agents SDK,"In this hands-on course, you’ll create an AI-powered travel agent using Python and the OpenAI Agents SDK. You’ll learn how to build an intelligent assistant that plans trips, recommends destinations, and adapts to user preferences. Along the way, you’ll explore how to extend your agent with tools that search the web for real-world travel data and delegate tasks to specialized sub-agents. You’ll also add guardrails, sessions, and tracing to make your agents safe, reliable, and easy to debug. By the end, you’ll have a working multi-agent travel assistant and the practical skills to build your own intelligent systems with the OpenAI Agents SDK.",Course,2025-11-23 13:57 UTC,N/A,false,N/A,
LLM Foundations: Vector Databases for Caching and Retrieval Augmented Generation (RAG),"<p>As large language models grow in popularity, the infrastructure to be used around them also becomes vital to reduce costs, generate accurate responses, and improve efficiency. Vector databases play a vital role in several LLM use cases to help alleviate LLM shortcomings, reduce costs and latency. Knowledge of its basics and applications are vital for any engineer building applications with LLMs, and in this course, Kumaran Ponnambalam teaches you the basics of vector databases and how to use them in LLM caching and retrieval-augmented generation (RAG).
 </p>
Kumaran begins with a discussion on the basics of vector databases and their applications. He then explores specialized databases for storing vectors and uses the Milvus database as the reference example, and demonstrates read and write operations with the Milvus database. Learn how to use vector databases for LLM caching, with an example use case, along with examples of RAG use cases. Finally, Kumaran concludes with a discussion on optimizing vector databases.",Course,2025-12-01 03:54 UTC,N/A,false,N/A,
